# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cycles:P'
# Event count (approx.): 15553326617
#
# Overhead  Shared Object                                    
# ........  .................................................
#
    29.25%  libscipy_openblas64_-32a4b2a6.so                 
    17.78%  [kernel.kallsyms]                                
    17.38%  python3.12                                       
    10.19%  libtorch_cpu.so                                  
     7.11%  libcuda.so.595.71.05                             
     4.79%  libc.so.6                                        
     2.72%  libtorch_python.so                               
     2.11%  libtorch_cuda.so                                 
     1.75%  libcublasLt.so.12                                
     1.70%  ld-linux-x86-64.so.2                             
     1.62%  libc10_cuda.so                                   
     1.43%  libc10.so                                        
     0.87%  libcudart.so.12                                  
     0.62%  libstdc++.so.6.0.33                              
     0.21%  libcublas.so.12                                  
     0.18%  [vdso]                                           
     0.17%  libcufile.so.0                                   
     0.04%  libcusparseLt.so.0                               
     0.01%  libnvJitLink.so.12                               
     0.01%  libcufft.so.11                                   
     0.01%  libcrypto.so.3                                   
     0.01%  libtorch.so                                      
     0.01%  libnvrtc.so.12                                   
     0.01%  _multiarray_umath.cpython-312-x86_64-linux-gnu.so
     0.01%  bpf_prog_3918c82a5f4c0360                        


#
# (Cannot load tips.txt file, please install perf!)
#
