# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 154K of event 'cycles:P'
# Event count (approx.): 161010505728
#
# Overhead  Shared Object                                    
# ........  .................................................
#
    45.75%  libcuda.so.595.71.05                             
    20.24%  [kernel.kallsyms]                                
    10.68%  python3.12                                       
     7.49%  [vdso]                                           
     5.88%  libscipy_openblas64_-32a4b2a6.so                 
     2.51%  libc.so.6                                        
     2.32%  libtorch_cpu.so                                  
     1.35%  libtorch_python.so                               
     1.10%  libcrypto.so.3                                   
     0.55%  libc10.so                                        
     0.37%  libcublasLt.so.12                                
     0.37%  ld-linux-x86-64.so.2                             
     0.34%  libtorch_cuda.so                                 
     0.29%  libc10_cuda.so                                   
     0.27%  _multiarray_umath.cpython-312-x86_64-linux-gnu.so
     0.19%  libstdc++.so.6.0.33                              
     0.12%  libcudart.so.12                                  
     0.07%  libcublas.so.12                                  
     0.06%  libcufile.so.0                                   
     0.01%  libm.so.6                                        
     0.01%  libtorch.so                                      
     0.00%  libtriton.so                                     
     0.00%  libcusparseLt.so.0                               
     0.00%  libcufft.so.11                                   
     0.00%  libz.so.1.3                                      
     0.00%  libnvJitLink.so.12                               
     0.00%  mmap.cpython-312-x86_64-linux-gnu.so             
     0.00%  libcusparse.so.12                                
     0.00%  _json.cpython-312-x86_64-linux-gnu.so            
     0.00%  libcusolver.so.11                                
     0.00%  _hashlib.cpython-312-x86_64-linux-gnu.so         
     0.00%  libgomp.so.1                                     
     0.00%  libffi.so.8.1.4                                  
     0.00%  _ctypes.cpython-312-x86_64-linux-gnu.so          
     0.00%  _ssl.cpython-312-x86_64-linux-gnu.so             
     0.00%  libcupti.so.12                                   
     0.00%  libcudnn_graph.so.9                              
     0.00%  _generator.cpython-312-x86_64-linux-gnu.so       
     0.00%  libnccl.so.2                                     
     0.00%  ptxas                                            


#
# (Cannot load tips.txt file, please install perf!)
#
